SO_2021_10_26_Instance_4	PMC1626394.nxml.gz_17	2594 2607	mitochondrial	SO_biobert_model_local_PMC1626394.nxml.gz
SO_2021_10_26_Instance_33	PMC2889879.nxml.gz_186	39744 39751	genetic	SO_biobert_model_local_PMC2889879.nxml.gz
SO_2021_10_26_Instance_34	PMC2889879.nxml.gz_209	43306 43313	genetic	SO_biobert_model_local_PMC2889879.nxml.gz
SO_2021_10_26_Instance_35	PMC2889879.nxml.gz_210	43402 43409	genetic	SO_biobert_model_local_PMC2889879.nxml.gz
SO_2021_10_26_Instance_37	PMC2898025.nxml.gz_10	1243 1250	genetic	SO_biobert_model_local_PMC2898025.nxml.gz
SO_2021_10_26_Instance_38	PMC2898025.nxml.gz_133	22997 23004	genetic	SO_biobert_model_local_PMC2898025.nxml.gz
SO_2021_10_26_Instance_39	PMC2898025.nxml.gz_153	25945 25952	genetic	SO_biobert_model_local_PMC2898025.nxml.gz
SO_2021_10_26_Instance_41	PMC2913107.nxml.gz_1	596 603	genetic	SO_biobert_model_local_PMC2913107.nxml.gz
SO_2021_10_26_Instance_42	PMC2913107.nxml.gz_25	4000 4006	genome	SO_biobert_model_local_PMC2913107.nxml.gz
SO_2021_10_26_Instance_43	PMC2913107.nxml.gz_37	6272 6278	genome	SO_biobert_model_local_PMC2913107.nxml.gz
SO_2021_10_26_Instance_44	PMC2913107.nxml.gz_45	7569 7576	genetic	SO_biobert_model_local_PMC2913107.nxml.gz
SO_2021_10_26_Instance_45	PMC2913107.nxml.gz_46	7633 7640	genetic	SO_biobert_model_local_PMC2913107.nxml.gz
SO_2021_10_26_Instance_46	PMC2913107.nxml.gz_47	7995 8002	genetic	SO_biobert_model_local_PMC2913107.nxml.gz
SO_2021_10_26_Instance_48	PMC2999828.nxml.gz_111	17443 17450	genetic	SO_biobert_model_local_PMC2999828.nxml.gz
SO_2021_10_26_Instance_49	PMC2999828.nxml.gz_149	23309 23316	Genetic	SO_biobert_model_local_PMC2999828.nxml.gz
SO_2021_10_26_Instance_50	PMC2999828.nxml.gz_171	26754 26761	genetic	SO_biobert_model_local_PMC2999828.nxml.gz
SO_2021_10_26_Instance_52	PMC3075531.nxml.gz_10	2118 2125	genetic	SO_biobert_model_local_PMC3075531.nxml.gz
SO_2021_10_26_Instance_53	PMC3075531.nxml.gz_43	10562 10569	genetic	SO_biobert_model_local_PMC3075531.nxml.gz
SO_2021_10_26_Instance_54	PMC3075531.nxml.gz_56	14614 14619	Genes	SO_biobert_model_local_PMC3075531.nxml.gz
SO_2021_10_26_Instance_55	PMC3075531.nxml.gz_57	14772 14779	genetic	SO_biobert_model_local_PMC3075531.nxml.gz
SO_2021_10_26_Instance_56	PMC3075531.nxml.gz_57	14822 14827	genes	SO_biobert_model_local_PMC3075531.nxml.gz
SO_2021_10_26_Instance_57	PMC3075531.nxml.gz_58	14902 14909	genetic	SO_biobert_model_local_PMC3075531.nxml.gz
SO_2021_10_26_Instance_58	PMC3075531.nxml.gz_58	14942 14947	genes	SO_biobert_model_local_PMC3075531.nxml.gz
SO_2021_10_26_Instance_59	PMC3075531.nxml.gz_61	16684 16691	genetic	SO_biobert_model_local_PMC3075531.nxml.gz
SO_2021_10_26_Instance_60	PMC3075531.nxml.gz_62	16766 16773	genetic	SO_biobert_model_local_PMC3075531.nxml.gz
SO_2021_10_26_Instance_63	PMC3205727.nxml.gz_9	1425 1430	genes	SO_biobert_model_local_PMC3205727.nxml.gz
SO_2021_10_26_Instance_66	PMC3272870.nxml.gz_13	2927 2931	gene	SO_biobert_model_local_PMC3272870.nxml.gz
SO_2021_10_26_Instance_67	PMC3272870.nxml.gz_13	2998 3002	gene	SO_biobert_model_local_PMC3272870.nxml.gz
SO_2021_10_26_Instance_68	PMC3272870.nxml.gz_63	12219 12226	Genetic	SO_biobert_model_local_PMC3272870.nxml.gz
SO_2021_10_26_Instance_69	PMC3272870.nxml.gz_64	12401 12408	genomic	SO_biobert_model_local_PMC3272870.nxml.gz
SO_2021_10_26_Instance_70	PMC3272870.nxml.gz_64	12657 12663	genome	SO_biobert_model_local_PMC3272870.nxml.gz
SO_2021_10_26_Instance_71	PMC3272870.nxml.gz_64	12673 12677	gene	SO_biobert_model_local_PMC3272870.nxml.gz
SO_2021_10_26_Instance_72	PMC3272870.nxml.gz_83	16396 16403	genetic	SO_biobert_model_local_PMC3272870.nxml.gz
SO_2021_10_26_Instance_73	PMC3272870.nxml.gz_86	16819 16826	genetic	SO_biobert_model_local_PMC3272870.nxml.gz
SO_2021_10_26_Instance_74	PMC3272870.nxml.gz_92	17521 17525	gene	SO_biobert_model_local_PMC3272870.nxml.gz
SO_2021_10_26_Instance_75	PMC3272870.nxml.gz_96	18559 18566	genetic	SO_biobert_model_local_PMC3272870.nxml.gz
SO_2021_10_26_Instance_76	PMC3272870.nxml.gz_156	27606 27613	genetic	SO_biobert_model_local_PMC3272870.nxml.gz
SO_2021_10_26_Instance_77	PMC3272870.nxml.gz_162	28730 28737	genetic	SO_biobert_model_local_PMC3272870.nxml.gz
SO_2021_10_26_Instance_79	PMC3279448.nxml.gz_0	106 111	Genes	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_80	PMC3279448.nxml.gz_2	540 544	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_81	PMC3279448.nxml.gz_4	802 814;815 822	interspersed nuclear	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_82	PMC3279448.nxml.gz_5	963 973	Genomewide	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_83	PMC3279448.nxml.gz_6	1162 1166	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_84	PMC3279448.nxml.gz_6	1311 1315	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_85	PMC3279448.nxml.gz_8	1745 1750	genes	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_86	PMC3279448.nxml.gz_8	1776 1789;1790 1796;1797 1804;1805 1810	transcription factor binding sites	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_87	PMC3279448.nxml.gz_15	3052 3059	genetic	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_88	PMC3279448.nxml.gz_19	3315 3322	genomic	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_89	PMC3279448.nxml.gz_31	4244 4250	tandem	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_90	PMC3279448.nxml.gz_31	4299 4305	genome	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_91	PMC3279448.nxml.gz_32	4427 4439	interspersed	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_92	PMC3279448.nxml.gz_32	4475 4487;4488 4495	interspersed nuclear	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_93	PMC3279448.nxml.gz_33	4601 4607	genome	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_94	PMC3279448.nxml.gz_33	4758 4764	genome	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_95	PMC3279448.nxml.gz_37	5497 5501	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_96	PMC3279448.nxml.gz_37	5526 5536	genomewide	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_97	PMC3279448.nxml.gz_41	6216 6223	genetic	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_98	PMC3279448.nxml.gz_42	6352 6359	genetic	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_99	PMC3279448.nxml.gz_56	8531 8535	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_100	PMC3279448.nxml.gz_58	9117 9124	alleles	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_101	PMC3279448.nxml.gz_62	9785 9790	genes	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_102	PMC3279448.nxml.gz_77	11171 11175	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_103	PMC3279448.nxml.gz_77	11285 11289	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_104	PMC3279448.nxml.gz_83	12629 12633	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_105	PMC3279448.nxml.gz_83	12641 12645	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_106	PMC3279448.nxml.gz_87	12861 12874;12875 12881;12882 12889;12890 12894	transcription factor binding site	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_107	PMC3279448.nxml.gz_87	12896 12900	TFBS	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_108	PMC3279448.nxml.gz_87	13000 13007	Genomes	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_109	PMC3279448.nxml.gz_87	13022 13026	TFBS	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_110	PMC3279448.nxml.gz_88	13229 13233	wide	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_111	PMC3279448.nxml.gz_88	13234 13246;13247 13253;13254 13262	interspersed repeat elements	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_112	PMC3279448.nxml.gz_88	13264 13268	MIRs	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_113	PMC3279448.nxml.gz_93	14196 14202	Repeat	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_114	PMC3279448.nxml.gz_99	16089 16094	TFBSs	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_115	PMC3279448.nxml.gz_99	16197 16201	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_116	PMC3279448.nxml.gz_101	16276 16283;16284 16289	binding sites	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_117	PMC3279448.nxml.gz_101	16293 16306;16307 16314	transcription factors	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_118	PMC3279448.nxml.gz_112	18007 18011	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_119	PMC3279448.nxml.gz_112	18051 18061	genomewide	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_120	PMC3279448.nxml.gz_124	20219 20223	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_121	PMC3279448.nxml.gz_125	20319 20323	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_122	PMC3279448.nxml.gz_127	21126 21133	genomic	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_123	PMC3279448.nxml.gz_135	22276 22283	genomic	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_124	PMC3279448.nxml.gz_135	22568 22572	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_125	PMC3279448.nxml.gz_135	22605 22609	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_126	PMC3279448.nxml.gz_138	22971 22976	genes	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_127	PMC3279448.nxml.gz_139	23212 23217	genes	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_128	PMC3279448.nxml.gz_139	23244 23249	genes	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_129	PMC3279448.nxml.gz_140	23482 23486	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_130	PMC3279448.nxml.gz_140	23519 23523	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_131	PMC3279448.nxml.gz_142	23919 23923	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_132	PMC3279448.nxml.gz_142	23947 23952	bases	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_133	PMC3279448.nxml.gz_142	23961 23965	TFBS	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_134	PMC3279448.nxml.gz_146	24849 24853	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_135	PMC3279448.nxml.gz_146	24891 24895	TFBS	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_136	PMC3279448.nxml.gz_146	24914 24918	TFBS	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_137	PMC3279448.nxml.gz_146	24965 24969	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_138	PMC3279448.nxml.gz_151	25512 25516	TFBS	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_139	PMC3279448.nxml.gz_151	25593 25597	TFBS	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_140	PMC3279448.nxml.gz_152	25791 25798	genomic	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_141	PMC3279448.nxml.gz_152	25812 25816	TFBS	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_142	PMC3279448.nxml.gz_153	25976 25980	TFBS	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_143	PMC3279448.nxml.gz_153	25981 25986	genes	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_144	PMC3279448.nxml.gz_154	26224 26228	TFBS	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_145	PMC3279448.nxml.gz_154	26229 26234	genes	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_146	PMC3279448.nxml.gz_154	26371 26375	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_147	PMC3279448.nxml.gz_157	26831 26841	genomewide	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_148	PMC3279448.nxml.gz_157	26850 26854	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_149	PMC3279448.nxml.gz_158	27089 27095	genome	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_150	PMC3279448.nxml.gz_166	28145 28155	genomewide	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_151	PMC3279448.nxml.gz_166	28156 28160	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_152	PMC3279448.nxml.gz_167	28393 28397	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_153	PMC3279448.nxml.gz_167	28465 28470	genes	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_154	PMC3279448.nxml.gz_168	29090 29095	genes	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_155	PMC3279448.nxml.gz_169	29344 29348	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_156	PMC3279448.nxml.gz_169	29356 29360	TFBS	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_157	PMC3279448.nxml.gz_169	29416 29420	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_158	PMC3279448.nxml.gz_170	29536 29540	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_159	PMC3279448.nxml.gz_174	30033 30038	genes	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_160	PMC3279448.nxml.gz_174	30104 30109	genes	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_161	PMC3279448.nxml.gz_174	30196 30201	genes	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_162	PMC3279448.nxml.gz_178	30827 30832	TFBSs	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_163	PMC3279448.nxml.gz_178	30956 30960	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_164	PMC3279448.nxml.gz_179	31106 31113;31114 31119	binding sites	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_165	PMC3279448.nxml.gz_180	31272 31277	genes	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_166	PMC3279448.nxml.gz_192	33507 33514	genetic	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_167	PMC3279448.nxml.gz_192	33577 33584	genomic	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_168	PMC3279448.nxml.gz_195	34191 34198	genomic	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_169	PMC3279448.nxml.gz_196	34374 34379	flank	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_170	PMC3279448.nxml.gz_197	34475 34479	gene	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_171	PMC3279448.nxml.gz_198	34628 34634	genome	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_172	PMC3279448.nxml.gz_198	34692 34709;34710 34718	retrotransposable elements	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_173	PMC3279448.nxml.gz_199	34817 34823	genome	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_174	PMC3279448.nxml.gz_207	36578 36583	genes	SO_biobert_model_local_PMC3279448.nxml.gz
SO_2021_10_26_Instance_177	PMC3342123.nxml.gz_0	86 91	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_178	PMC3342123.nxml.gz_3	776 781	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_179	PMC3342123.nxml.gz_3	896 902	genome	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_180	PMC3342123.nxml.gz_7	1346 1350	gene	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_181	PMC3342123.nxml.gz_8	1717 1722	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_182	PMC3342123.nxml.gz_12	2369 2375	genome	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_183	PMC3342123.nxml.gz_13	2559 2564	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_184	PMC3342123.nxml.gz_16	3182 3188	genome	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_185	PMC3342123.nxml.gz_19	3682 3687	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_186	PMC3342123.nxml.gz_19	3802 3808	genome	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_187	PMC3342123.nxml.gz_20	4150 4154	gene	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_188	PMC3342123.nxml.gz_22	4442 4448	genome	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_189	PMC3342123.nxml.gz_32	6008 6013	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_190	PMC3342123.nxml.gz_33	6506 6511	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_191	PMC3342123.nxml.gz_34	6651 6655	gene	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_192	PMC3342123.nxml.gz_37	7086 7091	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_193	PMC3342123.nxml.gz_43	8220 8225	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_194	PMC3342123.nxml.gz_55	10138 10145	genetic	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_195	PMC3342123.nxml.gz_62	11188 11199	transcripts	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_196	PMC3342123.nxml.gz_63	11385 11395	genesGenes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_197	PMC3342123.nxml.gz_66	13026 13031	Genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_198	PMC3342123.nxml.gz_69	13472 13477	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_199	PMC3342123.nxml.gz_70	13799 13804	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_200	PMC3342123.nxml.gz_72	14184 14195	transcripts	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_201	PMC3342123.nxml.gz_73	14227 14231	gene	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_202	PMC3342123.nxml.gz_74	14361 14366	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_203	PMC3342123.nxml.gz_74	14435 14440	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_204	PMC3342123.nxml.gz_75	14519 14524	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_205	PMC3342123.nxml.gz_76	14732 14737	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_206	PMC3342123.nxml.gz_77	14817 14822	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_207	PMC3342123.nxml.gz_79	15220 15225	Genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_208	PMC3342123.nxml.gz_79	15322 15327	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_209	PMC3342123.nxml.gz_81	15649 15654	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_210	PMC3342123.nxml.gz_82	15778 15783	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_211	PMC3342123.nxml.gz_83	15925 15936	transcripts	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_212	PMC3342123.nxml.gz_84	16150 16160	genesGenes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_213	PMC3342123.nxml.gz_87	19469 19474	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_214	PMC3342123.nxml.gz_87	19554 19559	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_215	PMC3342123.nxml.gz_90	19824 19829	Genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_216	PMC3342123.nxml.gz_90	20093 20098	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_217	PMC3342123.nxml.gz_92	20307 20312	Genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_218	PMC3342123.nxml.gz_92	20411 20416	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_219	PMC3342123.nxml.gz_94	20640 20645	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_220	PMC3342123.nxml.gz_95	20811 20816	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_221	PMC3342123.nxml.gz_97	21056 21061	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_222	PMC3342123.nxml.gz_98	21193 21198	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_223	PMC3342123.nxml.gz_99	21461 21472	transcripts	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_224	PMC3342123.nxml.gz_104	22083 22087	gene	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_225	PMC3342123.nxml.gz_104	22480 22487	homolog	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_226	PMC3342123.nxml.gz_104	22488 22492	gene	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_227	PMC3342123.nxml.gz_104	22660 22675	transcriptsGene	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_228	PMC3342123.nxml.gz_106	23773 23779	genome	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_229	PMC3342123.nxml.gz_106	23812 23816	gene	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_230	PMC3342123.nxml.gz_111	24706 24711	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_231	PMC3342123.nxml.gz_113	24944 24949	genes	SO_biobert_model_local_PMC3342123.nxml.gz
SO_2021_10_26_Instance_232	PMC3342123.nxml.gz_121	26159 26165	genome	SO_biobert_model_local_PMC3342123.nxml.gz
