PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	ONTOLOGY_CONCEPT_IDS_LIST
PMC5240907.nxml.gz	82	[')—High Frequency in Normalized Units.']	(11691, 11728)	[]
PMC5240907.nxml.gz	83	['Considering the HRV analysis, there was no significant gender effects with respect to the time-domain (HR: P = 0.098; MNN: P = 0.271; SDNN: P = 0.208; RMSSD: P = 0.624; PNN50: P = 0.882) or frequency-domain (LF: P = 0.294; HF: P = 0.844; ratio LF/HF: P = 0.546) indices; therefore, analyses were performed considering boys and girls together.']	(11729, 12071)	['therefore', 'effects']
PMC5240907.nxml.gz	84	['For the entire cohort, inverse correlations were observed between the HRV parameters with BMI (RMSSD: r = - 0.199, P = 0.047; PNN50: r = - 0.231, P = 0.021; HF: r = - 0.205, P = 0.041), systolic (RMSSD: r = - 0.227, P = 0.023; PNN50: r = - 0.214, P = 0.032) and diastolic (PNN50: r = - 0.217, P = 0.030) BP levels.']	(12072, 12386)	['observed', 'correlations']
PMC5240907.nxml.gz	85	['On the other hand, resting HR values were positive correlated with BMI ( r = 0.300, P = 0.002) and blood pressure levels (SBP: r = 0.382, P< 0.001; DBP: r = 0.317, P = 0.001).']	(12387, 12562)	['correlated', 'anomaly_curious_finding', 'anomaly_curious_finding', 'anomaly_curious_finding', 'anomaly_curious_finding']
PMC5240907.nxml.gz	86	['Additionally, we observed an inverse correlation between BW and systolic BP levels ( r = - 0.261, P = 0.009) (Fig 1A).']	(12563, 12681)	['observed', 'correlation']
PMC5240907.nxml.gz	87	['Meanwhile, diastolic BP ( r = - 0.182; P = 0.070) was not influenced by BW in these children (Fig 1B).']	(12682, 12784)	[]
PMC5240907.nxml.gz	88	['Interestingly, there were consistent positive correlations between BW with parameters of the time domain (RMSSD: r = 0.328, P = 0.001; PNN50: r = 0.386, P = 0.001) (Fig 2) and frequency domain (HF: r = 0.332, P = 0.002) (Fig 3), suggesting that impaired vagal modulation to the heart in children is influenced by low birth weight.']	(12785, 13115)	['suggesting', 'superficial_relationship', 'correlations', 'influenced', 'interestingly']
PMC5240907.nxml.gz	89	['To determine the effect of birth weight on HRV parameters, we perform multivariate linear regression analysis adjusted for potentially confounding factors (prematurity, gender, age, BMI, physical activity index and SBP levels).']	(13116, 13343)	['potentially', 'effect', 'confounding_factors', 'confounding_factors', 'to_determine', 'to_determine']
PMC5240907.nxml.gz	90	['When RMSSD was tested as the dependent variable, we found that only birth weight emerged as independent determinant for this HRV parameter (Table 2).']	(13344, 13493)	['found', 'incomplete_evidence', 'independent', 'determinant', 'anomaly_curious_finding']
PMC5240907.nxml.gz	91	['In the current study the birth weight explained 15% of the variance in RMSSD index (R2= 0.15) (Table 2).']	(13494, 13598)	[]
PMC5240907.nxml.gz	92	['On the other hand, multiple regression analysis revealed a significant interaction of the three independent variables birth weight, age and BMI in predicting PNN50 (Table 2).']	(13599, 13773)	['revealed', 'interaction', 'predicting', 'on_the_other_hand', 'on_the_other_hand', 'on_the_other_hand', 'on_the_other_hand']
PMC5240907.nxml.gz	93	['These independent variables explained 23% of the variability in PNN50 index (R2= 0.23) (Table 2).']	(13774, 13871)	[]
PMC5240907.nxml.gz	94	['Finally, regression analysis revealed that birth weight was the only significant predictor of HF, and explained 16% of the variance in HF (R2= 0.16) (Table 2).10.1371/journal.pone.0167328.g001\n\nCaption (FIG): FIG 1\nScatter plots showing the correlation between birth weight with systolic (A) and diastolic (B) blood pressure levels.']	(13872, 14204)	['revealed', 'predictor', 'anomaly_curious_finding']
PMC5240907.nxml.gz	95	['The lines represent the weighted regression with its 95% confidence interval.10.1371/journal.pone.0167328.g002\n\nCaption (FIG): FIG 2\nScatter plots showing the correlation between birth weight with parameters of the time domain: (A) RMSSD and (B) PNN50.']	(14205, 14457)	[]
PMC5240907.nxml.gz	96	['The lines represent the weighted regression with its 95% confidence interval.10.1371/journal.pone.0167328.g003\n\nCaption (FIG): FIG 3\nScatter plots showing the correlation between birth weight with HF, parameter of the frequency domain.']	(14458, 14693)	[]
PMC5240907.nxml.gz	97	['The lines represent the weighted regression with its 95% confidence interval.10.1371/journal.pone.0167328.t002\n\nCaption (TABLE-WRAP): TABLE 2\nMultiple Linear Regression Analyses for the Dependent Variables RMSSD, PNN50 and HF index.βSECI (95%) P Value RMSSD (ms) Birth Weight0.0110.004(0.002 to 0.019)0.018 PNN50 (%) Birth Weight0.0080.003(0.002 to 0.012)0.007Age1.3650.677(0.019 to 2.710)0.047BMI-0.7530.308(-1.364 to -0.142)0.016 HF (n.u.)']	(14694, 15135)	[]
PMC5240907.nxml.gz	98	['Birth Weight0.0070.003(0.002 to 0.013)0.013\nConfounding factors (prematurity, birth weight, gender, age, BMI, physical activity index and SBP levels) were included in the same regression model.']	(15136, 15329)	[]
PMC5240907.nxml.gz	99	['β: Parameter estimate indicating the alteration in HRV components caused by one unit of change in the independent variable; SE: Standard error; CI: Confidence interval; BMI—Body Mass Index; RMSSD—Root Mean Square of Successive Differences; pNN50—Percentage of Differences Between Adjacent Normal-to-Normal Intervals that is Greater than 50 Milliseconds; HF (n.u.']	(15330, 15692)	[]
PMC5240907.nxml.gz	100	[')—High Frequency in Normalized Units.']	(15692, 15729)	[]
PMC5240907.nxml.gz	101	['Discussion\nIt is known that the ANS development begins in fetal life and persists after birth [30,31].']	(15731, 15833)	['it_is_known', 'it_is_known', 'it_is_known']
PMC5240907.nxml.gz	102	['There is evidence suggesting that negative insults during intrauterine development promote functional disorders in the ANS, which may persist later in life [32].']	(15834, 15995)	['there_is_evidence', 'there_is_evidence', 'there_is_evidence', 'suggesting', 'may']
PMC5240907.nxml.gz	103	['Moreover, it should be noted that alterations in autonomic nervous function are associated with low birth weight and cardiometabolic abnormalities [17,19,20,33].']	(15996, 16157)	['associated', 'important_consideration', 'important_consideration', 'noted']
PMC5240907.nxml.gz	104	['Findings from the present study demonstrated that children with low birth weight have abnormal autonomic modulation, suggesting that variation in birth weight seems associated with the differences in autonomic function observed in later childhood.']	(16158, 16405)	['findings', 'demonstrated', 'suggesting', 'observed', 'associated', 'seems', 'present_study', 'present_study']
PMC5240907.nxml.gz	105	['We found that the RMSSD, pNN50 index and HF band (n.u.)']	(16406, 16461)	['found']
PMC5240907.nxml.gz	106	['an indicative of the cardiac vagal modulation were positively correlated with birth weight.']	(16462, 16553)	['indicative', 'correlated']
PMC5240907.nxml.gz	107	['These findings preserved even after adjusting for prematurity, gender, age, BMI, physical activity index and SBP levels.']	(16554, 16674)	['these_findings', 'these_findings', 'superficial_relationship', 'even']
PMC5240907.nxml.gz	108	['One possible interpretation for our present data is that a vagal withdrawal, rather than a sympathetic overactivity, could precede the development of hypertension and other cardiometabolic diseases in children with low birth weight.']	(16675, 16907)	['possible', 'probable_understanding', 'future_prediction', 'rather']
PMC5240907.nxml.gz	109	['It has been reported that low birth weight is related to modulation of both the sympathetic and parasympathetic function from the prenatal period through childhood and adult life [17,19,20,34–38].']	(16908, 17104)	['reported', 'related']
PMC5240907.nxml.gz	110	['Decreases in the HRV parameters were noted in newborns at term with low weight [34], while other studies observed a normal cardiac autonomic balance in these neonates [17,35].']	(17105, 17280)	['incomplete_evidence', 'incomplete_evidence', 'observed', 'noted', 'while']
PMC5240907.nxml.gz	111	['A recent study on children with low birth weight found a reduction in the overall activity of the ANS [15].']	(17281, 17388)	['recent_study', 'recent_study', 'found']
PMC5240907.nxml.gz	112	['A study examining young adults with low birth weight found that these subjects possessed significantly increased parasympathetic parameters of the time domain [19].']	(17389, 17553)	['a_study', 'a_study', 'found']
PMC5240907.nxml.gz	113	['Another study found increased sympathetic activation and reduced parasympathetic activity, demonstrating autonomic imbalance only in women with low birth weight who submitted to a stress test [20].']	(17554, 17751)	['another_study', 'another_study', 'found', 'demonstrating', 'only']
PMC5240907.nxml.gz	114	['Ward et al.']	(17752, 17763)	[]
PMC5240907.nxml.gz	115	['[36] also observed a negative correlation between birth weight and heart rate in response to psychological stress in women.']	(17764, 17887)	['observed', 'correlation']
PMC5240907.nxml.gz	116	['Other studies found a significant correlation between low birth weight and increased sympathetic activity in adolescent twin pairs and young adults; however, this result did not observed gender differences [37,38].']	(17888, 18102)	['found', 'did_not', 'did_not', 'correlation', 'other...studies', 'other...studies', 'however', 'differences']
PMC5240907.nxml.gz	117	['Our present findings indicate a reduction in activity of the parasympathetic ANS associated with low birth weight.']	(18103, 18217)	['findings', 'indicate', 'associated']
PMC5240907.nxml.gz	118	['This correlation remained significant even after controlling for multiple confounders.']	(18218, 18304)	['remained', 'correlation', 'even', 'confounders']
PMC5240907.nxml.gz	119	['Therefore, our data are consistent and complements the results of previous studies reporting the presence of impairment in the vagal cardiac autonomic modulation in children born with low weight [15,34,39].']	(18305, 18511)	['incomplete_evidence', 'previous...studies', 'previous...studies', 'therefore', 'superficial_relationship']
PMC5240907.nxml.gz	120	['One important factor that could contribute to these discrepant findings is the use of birth weight as a unique marker of fetal development.']	(18512, 18651)	['could', 'findings', 'as', 'factor', 'contribute', 'marker', 'important', 'important_consideration', 'alternative_options_controversy']
PMC5240907.nxml.gz	121	['The deleterious effects on development often vary in accordance to nature of the cause and period of exposure to adverse factors which have led to low birth weight.']	(18652, 18816)	['in_accordance', 'in_accordance', 'often', 'effects', 'factors', 'led_to', 'led_to', 'vary']
PMC5240907.nxml.gz	122	['It is well known that lower HRV parameters are associated with increased mortality due to heart failure, coronary heart disease and ischemic cardiomyopathy during adulthood [40].']	(18817, 18995)	['well_known', 'well_known', 'associated']
PMC5240907.nxml.gz	123	['There is also evidence that decreased parasympathetic activity is correlated with high blood pressure and obesity in childhood [41].']	(18996, 19128)	['evidence', 'correlated']
PMC5240907.nxml.gz	124	['Thus, significant correlation between lower HRV parameters and low birth weight found in healthy children may have adverse prognostic effects and serve as an early sign of cardiometabolic diseases.']	(19129, 19326)	['found', 'sign', 'thus', 'as', 'correlation', 'effects', 'future_prediction', 'serve']
PMC5240907.nxml.gz	125	['The reason why low birth weight promotes alterations in cardiac ANS activity among health individuals is unknown.']	(19327, 19440)	['unknown', 'why', 'reason']
PMC5240907.nxml.gz	126	['Considering that ANS is stable from intrauterine life through the postnatal period [42–44], an inadequate fetal environment can lead to negative changes in ANS development and functionality, thus promoting long-lasting consequences later in life.']	(19441, 19687)	['can', 'probable_understanding', 'thus', 'lead_to', 'lead_to', 'important_consideration', 'important_consideration']
PMC5240907.nxml.gz	127	['It has been demonstrated that children born to parents with socioeconomic problems have a higher probability of low birth weight and ANS dysfunction [45].']	(19688, 19842)	['has_been_demonstrated', 'has_been_demonstrated', 'has_been_demonstrated', 'probability', 'important_consideration']
PMC5240907.nxml.gz	128	['Interestingly, maternal prenatal stress could have negative effects on fetal ANS [46].']	(19843, 19929)	['could', 'effects', 'interestingly']
PMC5240907.nxml.gz	129	['There is also evidence that prenatal supplementation with zinc has a positive effect on birth weight [47] and fetal HRV measures [48,49].']	(19930, 20067)	['evidence', 'effect']
PMC5240907.nxml.gz	130	['Caulfield et al.']	(20068, 20084)	[]
PMC5240907.nxml.gz	131	['[50] found that the beneficial effects of prenatal zinc supplementation on the ANS balance persisted until early infancy, suggesting that the nutritional status of the mother is important to fetal ANS development.']	(20085, 20298)	['found', 'persisted', 'suggesting', 'effects', 'superficial_relationship']
PMC5240907.nxml.gz	132	['These findings are consistent with the premise that modification in the fetal environment could alter ANS development.']	(20299, 20417)	['these_findings', 'these_findings', 'consistent', 'premise', 'could']
PMC5240907.nxml.gz	133	['More detailed data about issues during pregnancy should be obtained in an attempt to identify specific periods during gestation that are important for the programming of the fetal autonomic system.']	(20418, 20615)	['future_work', 'future_work', 'should_be', 'should_be', 'important_consideration', 'important', 'difficult_task']
PMC5240907.nxml.gz	134	['Other potential mechanism that would explain the impairment of the vagal modulation observed in children with low birth weight could be mediated by renin-angiotensin system (RAS).']	(20616, 20795)	['potential', 'observed', 'could_be', 'could_be', 'explain', 'mediated', 'would', 'other']
PMC5240907.nxml.gz	135	['There is evidence that angiotensin II inhibits parasympathetic modulation [51].']	(20796, 20875)	['there_is_evidence', 'there_is_evidence', 'there_is_evidence']
PMC5240907.nxml.gz	136	['In accordance to this, an inverse correlation has been described between birth weight with both angiotensin II and ACE activity [52–54].']	(20876, 21012)	['in_accordance', 'in_accordance', 'has_been', 'has_been', 'described', 'correlation']
PMC5240907.nxml.gz	137	['This is important since children with low birth weight with higher plasma ACE activity would presumably have high angiotensin II levels and lower associated levels of cardiac vagal activity.']	(21013, 21203)	['probable_understanding', 'presumably', 'associated', 'would', 'important']
PMC5240907.nxml.gz	138	['Therefore, it is possible that the RAS hyperactivity could, at least in part, mediate the impairment of cardiac vagal tone observed in low birth weight children.']	(21204, 21365)	['it_is_possible', 'it_is_possible', 'it_is_possible', 'observed', 'therefore', 'probable_understanding', 'probable_understanding', 'probable_understanding', 'probable_understanding', 'mediate']
