CL_EXT_2021_10_26_Instance_2	PMC1474522.nxml.gz_1	129 138	Müllerian	CL_EXT_biobert_model_local_PMC1474522.nxml.gz
CL_EXT_2021_10_26_Instance_38	PMC2516588.nxml.gz_12	1754 1759	sperm	CL_EXT_biobert_model_local_PMC2516588.nxml.gz
CL_EXT_2021_10_26_Instance_40	PMC2672462.nxml.gz_122	23681 23682;23682 23683;23683 23688	β - cells	CL_EXT_biobert_model_local_PMC2672462.nxml.gz
CL_EXT_2021_10_26_Instance_41	PMC2672462.nxml.gz_122	23802 23803;23803 23804;23804 23808	β - cell	CL_EXT_biobert_model_local_PMC2672462.nxml.gz
CL_EXT_2021_10_26_Instance_42	PMC2672462.nxml.gz_122	23922 23923;23923 23924;23924 23929	β - cells	CL_EXT_biobert_model_local_PMC2672462.nxml.gz
CL_EXT_2021_10_26_Instance_43	PMC2672462.nxml.gz_124	24253 24254;24254 24255;24255 24259	β - cell	CL_EXT_biobert_model_local_PMC2672462.nxml.gz
CL_EXT_2021_10_26_Instance_46	PMC2722583.nxml.gz_3	805 808;809 813	Red cell	CL_EXT_biobert_model_local_PMC2722583.nxml.gz
CL_EXT_2021_10_26_Instance_47	PMC2722583.nxml.gz_3	834 845	erythrocyte	CL_EXT_biobert_model_local_PMC2722583.nxml.gz
CL_EXT_2021_10_26_Instance_48	PMC2722583.nxml.gz_59	9387 9392;9393 9398;9399 9403	white blood cell	CL_EXT_biobert_model_local_PMC2722583.nxml.gz
CL_EXT_2021_10_26_Instance_49	PMC2722583.nxml.gz_59	9416 9420	cell	CL_EXT_biobert_model_local_PMC2722583.nxml.gz
CL_EXT_2021_10_26_Instance_50	PMC2722583.nxml.gz_59	9440 9444	cell	CL_EXT_biobert_model_local_PMC2722583.nxml.gz
CL_EXT_2021_10_26_Instance_51	PMC2722583.nxml.gz_59	9464 9476	reticulocyte	CL_EXT_biobert_model_local_PMC2722583.nxml.gz
CL_EXT_2021_10_26_Instance_52	PMC2722583.nxml.gz_60	9721 9732	erythrocyte	CL_EXT_biobert_model_local_PMC2722583.nxml.gz
CL_EXT_2021_10_26_Instance_53	PMC2722583.nxml.gz_63	10094 10098	Cell	CL_EXT_biobert_model_local_PMC2722583.nxml.gz
CL_EXT_2021_10_26_Instance_54	PMC2722583.nxml.gz_63	10216 10220	Cell	CL_EXT_biobert_model_local_PMC2722583.nxml.gz
CL_EXT_2021_10_26_Instance_55	PMC2722583.nxml.gz_79	11978 11983;11984 11988	white cell	CL_EXT_biobert_model_local_PMC2722583.nxml.gz
CL_EXT_2021_10_26_Instance_56	PMC2722583.nxml.gz_87	13176 13188	reticulocyte	CL_EXT_biobert_model_local_PMC2722583.nxml.gz
CL_EXT_2021_10_26_Instance_57	PMC2722583.nxml.gz_98	14421 14424;14425 14429	red cell	CL_EXT_biobert_model_local_PMC2722583.nxml.gz
CL_EXT_2021_10_26_Instance_58	PMC2722583.nxml.gz_100	14829 14841	reticulocyte	CL_EXT_biobert_model_local_PMC2722583.nxml.gz
CL_EXT_2021_10_26_Instance_59	PMC2722583.nxml.gz_100	14871 14874;14875 14879	red cell	CL_EXT_biobert_model_local_PMC2722583.nxml.gz
CL_EXT_2021_10_26_Instance_60	PMC2722583.nxml.gz_105	15533 15545	erythrocytes	CL_EXT_biobert_model_local_PMC2722583.nxml.gz
CL_EXT_2021_10_26_Instance_62	PMC2727050.nxml.gz_122	22982 22989	Rodents	CL_EXT_biobert_model_local_PMC2727050.nxml.gz
CL_EXT_2021_10_26_Instance_63	PMC2727050.nxml.gz_143	28316 28320	cell	CL_EXT_biobert_model_local_PMC2727050.nxml.gz
CL_EXT_2021_10_26_Instance_64	PMC2727050.nxml.gz_143	28328 28338;28339 28344	epithelial cells	CL_EXT_biobert_model_local_PMC2727050.nxml.gz
CL_EXT_2021_10_26_Instance_65	PMC2727050.nxml.gz_143	28356 28361	cells	CL_EXT_biobert_model_local_PMC2727050.nxml.gz
CL_EXT_2021_10_26_Instance_66	PMC2727050.nxml.gz_143	28367 28377	leukocytes	CL_EXT_biobert_model_local_PMC2727050.nxml.gz
CL_EXT_2021_10_26_Instance_70	PMC2889879.nxml.gz_28	4408 4416	Neuronal	CL_EXT_biobert_model_local_PMC2889879.nxml.gz
CL_EXT_2021_10_26_Instance_71	PMC2889879.nxml.gz_33	5234 5237;5238 5243;5244 5249	red blood cells	CL_EXT_biobert_model_local_PMC2889879.nxml.gz
CL_EXT_2021_10_26_Instance_72	PMC2889879.nxml.gz_33	5259 5269	fibroblast	CL_EXT_biobert_model_local_PMC2889879.nxml.gz
CL_EXT_2021_10_26_Instance_73	PMC2889879.nxml.gz_35	5754 5758	cell	CL_EXT_biobert_model_local_PMC2889879.nxml.gz
CL_EXT_2021_10_26_Instance_74	PMC2889879.nxml.gz_69	11481 11485	eggs	CL_EXT_biobert_model_local_PMC2889879.nxml.gz
CL_EXT_2021_10_26_Instance_75	PMC2889879.nxml.gz_132	31313 31316;31317 31322;31323 31328	red blood cells	CL_EXT_biobert_model_local_PMC2889879.nxml.gz
CL_EXT_2021_10_26_Instance_76	PMC2889879.nxml.gz_132	31338 31349	fibroblasts	CL_EXT_biobert_model_local_PMC2889879.nxml.gz
CL_EXT_2021_10_26_Instance_77	PMC2889879.nxml.gz_153	34630 34633;34634 34638	red cell	CL_EXT_biobert_model_local_PMC2889879.nxml.gz
CL_EXT_2021_10_26_Instance_78	PMC2889879.nxml.gz_156	35107 35110;35111 35116	red cells	CL_EXT_biobert_model_local_PMC2889879.nxml.gz
CL_EXT_2021_10_26_Instance_80	PMC2898025.nxml.gz_6	841 849	cellular	CL_EXT_biobert_model_local_PMC2898025.nxml.gz
CL_EXT_2021_10_26_Instance_81	PMC2898025.nxml.gz_18	2610 2614	cell	CL_EXT_biobert_model_local_PMC2898025.nxml.gz
CL_EXT_2021_10_26_Instance_82	PMC2898025.nxml.gz_54	8606 8611;8612 8617	brain cells	CL_EXT_biobert_model_local_PMC2898025.nxml.gz
CL_EXT_2021_10_26_Instance_83	PMC2898025.nxml.gz_73	12598 12604;12605 12610	glioma cells	CL_EXT_biobert_model_local_PMC2898025.nxml.gz
CL_EXT_2021_10_26_Instance_84	PMC2898025.nxml.gz_93	15969 15981	astrocytomas	CL_EXT_biobert_model_local_PMC2898025.nxml.gz
CL_EXT_2021_10_26_Instance_85	PMC2898025.nxml.gz_95	16419 16430	astrocytoma	CL_EXT_biobert_model_local_PMC2898025.nxml.gz
CL_EXT_2021_10_26_Instance_86	PMC2898025.nxml.gz_109	18553 18559;18560 18564	glioma cell	CL_EXT_biobert_model_local_PMC2898025.nxml.gz
CL_EXT_2021_10_26_Instance_87	PMC2898025.nxml.gz_111	18792 18797	cells	CL_EXT_biobert_model_local_PMC2898025.nxml.gz
CL_EXT_2021_10_26_Instance_88	PMC2898025.nxml.gz_115	19785 19790	cells	CL_EXT_biobert_model_local_PMC2898025.nxml.gz
CL_EXT_2021_10_26_Instance_89	PMC2898025.nxml.gz_126	21736 21747	astrocytoma	CL_EXT_biobert_model_local_PMC2898025.nxml.gz
CL_EXT_2021_10_26_Instance_92	PMC2999828.nxml.gz_12	1771 1772;1773 1784	T lymphocytes	CL_EXT_biobert_model_local_PMC2999828.nxml.gz
CL_EXT_2021_10_26_Instance_93	PMC2999828.nxml.gz_13	1962 1966	type	CL_EXT_biobert_model_local_PMC2999828.nxml.gz
CL_EXT_2021_10_26_Instance_94	PMC2999828.nxml.gz_13	2045 2046;2047 2052	T cells	CL_EXT_biobert_model_local_PMC2999828.nxml.gz
CL_EXT_2021_10_26_Instance_95	PMC2999828.nxml.gz_15	2271 2275;2276 2281	mast cells	CL_EXT_biobert_model_local_PMC2999828.nxml.gz
CL_EXT_2021_10_26_Instance_96	PMC2999828.nxml.gz_16	2461 2465;2466 2470	mast cell	CL_EXT_biobert_model_local_PMC2999828.nxml.gz
CL_EXT_2021_10_26_Instance_97	PMC2999828.nxml.gz_20	3009 3013;3014 3019	mast cells	CL_EXT_biobert_model_local_PMC2999828.nxml.gz
CL_EXT_2021_10_26_Instance_98	PMC2999828.nxml.gz_21	3313 3325;3326 3331	inflammatory cells	CL_EXT_biobert_model_local_PMC2999828.nxml.gz
CL_EXT_2021_10_26_Instance_99	PMC2999828.nxml.gz_21	3343 3352	basophils	CL_EXT_biobert_model_local_PMC2999828.nxml.gz
CL_EXT_2021_10_26_Instance_100	PMC2999828.nxml.gz_21	3354 3365	eosinophils	CL_EXT_biobert_model_local_PMC2999828.nxml.gz
CL_EXT_2021_10_26_Instance_101	PMC2999828.nxml.gz_21	3371 3372;3373 3379;3380 3384;3385 3386	T helper type 2 ...	CL_EXT_biobert_model_local_PMC2999828.nxml.gz
CL_EXT_2021_10_26_Instance_102	PMC2999828.nxml.gz_21	3388 3391;3393 3404	Th2 ... lymphocytes	CL_EXT_biobert_model_local_PMC2999828.nxml.gz
CL_EXT_2021_10_26_Instance_103	PMC2999828.nxml.gz_55	8979 8983	cell	CL_EXT_biobert_model_local_PMC2999828.nxml.gz
CL_EXT_2021_10_26_Instance_104	PMC2999828.nxml.gz_131	20465 20475	lymphocyte	CL_EXT_biobert_model_local_PMC2999828.nxml.gz
CL_EXT_2021_10_26_Instance_105	PMC2999828.nxml.gz_164	25706 25707;25708 25712	T cell	CL_EXT_biobert_model_local_PMC2999828.nxml.gz
CL_EXT_2021_10_26_Instance_106	PMC2999828.nxml.gz_167	26194 26199	cells	CL_EXT_biobert_model_local_PMC2999828.nxml.gz
CL_EXT_2021_10_26_Instance_107	PMC2999828.nxml.gz_167	26240 26250	leukocytes	CL_EXT_biobert_model_local_PMC2999828.nxml.gz
CL_EXT_2021_10_26_Instance_108	PMC2999828.nxml.gz_168	26331 26332;26333 26338	T cells	CL_EXT_biobert_model_local_PMC2999828.nxml.gz
CL_EXT_2021_10_26_Instance_109	PMC2999828.nxml.gz_169	26475 26480	cells	CL_EXT_biobert_model_local_PMC2999828.nxml.gz
CL_EXT_2021_10_26_Instance_110	PMC2999828.nxml.gz_175	27656 27666	eosinophil	CL_EXT_biobert_model_local_PMC2999828.nxml.gz
CL_EXT_2021_10_26_Instance_111	PMC2999828.nxml.gz_194	31269 31279	leukocytes	CL_EXT_biobert_model_local_PMC2999828.nxml.gz
CL_EXT_2021_10_26_Instance_112	PMC2999828.nxml.gz_195	31611 31616	cells	CL_EXT_biobert_model_local_PMC2999828.nxml.gz
CL_EXT_2021_10_26_Instance_114	PMC3075531.nxml.gz_10	1944 1945;1946 1952;1953 1958	T helper cells	CL_EXT_biobert_model_local_PMC3075531.nxml.gz
CL_EXT_2021_10_26_Instance_115	PMC3075531.nxml.gz_10	2560 2573	monocytes9and	CL_EXT_biobert_model_local_PMC3075531.nxml.gz
CL_EXT_2021_10_26_Instance_116	PMC3075531.nxml.gz_10	2633 2642	monocytes	CL_EXT_biobert_model_local_PMC3075531.nxml.gz
CL_EXT_2021_10_26_Instance_117	PMC3075531.nxml.gz_10	2675 2678	APC	CL_EXT_biobert_model_local_PMC3075531.nxml.gz
CL_EXT_2021_10_26_Instance_121	PMC3271033.nxml.gz_91	13695 13698	BMC	CL_EXT_biobert_model_local_PMC3271033.nxml.gz
CL_EXT_2021_10_26_Instance_123	PMC3272870.nxml.gz_13	3091 3095	cell	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_124	PMC3272870.nxml.gz_26	5396 5404;5405 5409	neuronal cell	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_125	PMC3272870.nxml.gz_61	11737 11747	follicular	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_126	PMC3272870.nxml.gz_61	11748 11755;11756 11761	thyroid cells	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_127	PMC3272870.nxml.gz_64	12543 12548	cells	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_128	PMC3272870.nxml.gz_64	12594 12599	cells	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_129	PMC3272870.nxml.gz_64	12841 12847	foetal	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_130	PMC3272870.nxml.gz_64	12848 12852	cell	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_131	PMC3272870.nxml.gz_64	12895 12900	cells	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_132	PMC3272870.nxml.gz_64	12941 12948;12949 12954	thyroid cells	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_133	PMC3272870.nxml.gz_64	12964 12968;12969 12974	stem cells	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_134	PMC3272870.nxml.gz_64	13001 13011;13012 13017	follicular cells	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_135	PMC3272870.nxml.gz_65	13084 13088	cell	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_136	PMC3272870.nxml.gz_74	14488 14493	cells	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_137	PMC3272870.nxml.gz_76	15028 15035;15036 15041	thyroid cells	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_138	PMC3272870.nxml.gz_82	16069 16076;16077 16082	thyroid cells	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_139	PMC3272870.nxml.gz_89	17134 17135;17136 17141	C cells	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_140	PMC3272870.nxml.gz_90	17272 17273;17274 17278	C cell	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_141	PMC3272870.nxml.gz_91	17331 17345;17346 17351	neuroendocrine cells	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_142	PMC3272870.nxml.gz_91	17452 17462	follicular	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_143	PMC3272870.nxml.gz_91	17463 17470;17471 17476	thyroid cells	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_144	PMC3272870.nxml.gz_92	17622 17627	cells	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_145	PMC3272870.nxml.gz_93	17897 17902	cells	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_146	PMC3272870.nxml.gz_97	18711 18716	cells	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_147	PMC3272870.nxml.gz_97	18733 18734;18734 18735;18735 18739	C - cell	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_148	PMC3272870.nxml.gz_97	18835 18839	cell	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_149	PMC3272870.nxml.gz_99	19063 19068	cells	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_150	PMC3272870.nxml.gz_99	19136 19141;19141 19142	extra -	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_151	PMC3272870.nxml.gz_99	19142 19150	cellular	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_152	PMC3272870.nxml.gz_112	20795 20800	cells	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_153	PMC3272870.nxml.gz_131	23482 23490	cellular	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_154	PMC3272870.nxml.gz_131	23549 23550;23550 23551;23551 23555	T - cell	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_155	PMC3272870.nxml.gz_156	27578 27582;27583 27588	germ cells	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_156	PMC3272870.nxml.gz_171	30290 30295	cells	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_157	PMC3272870.nxml.gz_178	31239 31240;31241 31246	C cells	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_158	PMC3272870.nxml.gz_188	33144 33148	cell	CL_EXT_biobert_model_local_PMC3272870.nxml.gz
CL_EXT_2021_10_26_Instance_160	PMC3279448.nxml.gz_20	3454 3458	cell	CL_EXT_biobert_model_local_PMC3279448.nxml.gz
CL_EXT_2021_10_26_Instance_161	PMC3279448.nxml.gz_154	26339 26343	cell	CL_EXT_biobert_model_local_PMC3279448.nxml.gz
CL_EXT_2021_10_26_Instance_162	PMC3279448.nxml.gz_174	30214 30222	cellular	CL_EXT_biobert_model_local_PMC3279448.nxml.gz
CL_EXT_2021_10_26_Instance_163	PMC3279448.nxml.gz_178	30884 30892	cellular	CL_EXT_biobert_model_local_PMC3279448.nxml.gz
CL_EXT_2021_10_26_Instance_164	PMC3279448.nxml.gz_178	31041 31049	cellular	CL_EXT_biobert_model_local_PMC3279448.nxml.gz
CL_EXT_2021_10_26_Instance_167	PMC3342123.nxml.gz_0	103 107	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_168	PMC3342123.nxml.gz_9	1906 1910	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_169	PMC3342123.nxml.gz_12	2214 2218	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_170	PMC3342123.nxml.gz_14	2732 2736	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_171	PMC3342123.nxml.gz_26	5229 5239	adipocytes	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_172	PMC3342123.nxml.gz_26	5244 5250;5251 5257	muscle fibres	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_173	PMC3342123.nxml.gz_27	5393 5402	adipocyte	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_174	PMC3342123.nxml.gz_27	5425 5431;5432 5437	muscle fibre	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_175	PMC3342123.nxml.gz_32	6025 6029	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_176	PMC3342123.nxml.gz_32	6040 6044	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_177	PMC3342123.nxml.gz_55	10190 10194	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_178	PMC3342123.nxml.gz_81	15671 15675	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_179	PMC3342123.nxml.gz_105	23224 23227	SMC	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_180	PMC3342123.nxml.gz_120	25826 25830	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_181	PMC3342123.nxml.gz_120	25841 25849	cellular	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_182	PMC3342123.nxml.gz_124	26649 26653	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_183	PMC3342123.nxml.gz_124	26694 26698	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_184	PMC3342123.nxml.gz_125	26786 26790	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_185	PMC3342123.nxml.gz_125	26820 26824	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_186	PMC3342123.nxml.gz_126	26841 26851;26852 26857	Eukaryotic cells	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_187	PMC3342123.nxml.gz_126	26913 26917	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_188	PMC3342123.nxml.gz_127	26941 26945	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_189	PMC3342123.nxml.gz_128	27039 27043	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_190	PMC3342123.nxml.gz_129	27148 27152	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_191	PMC3342123.nxml.gz_129	27217 27221	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_192	PMC3342123.nxml.gz_131	27439 27443	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_193	PMC3342123.nxml.gz_132	27652 27656	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_194	PMC3342123.nxml.gz_133	27808 27812	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_195	PMC3342123.nxml.gz_134	27975 27979	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_196	PMC3342123.nxml.gz_136	28182 28186	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_197	PMC3342123.nxml.gz_136	28240 28244	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_198	PMC3342123.nxml.gz_137	28349 28353	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_199	PMC3342123.nxml.gz_138	28572 28576	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_200	PMC3342123.nxml.gz_139	28694 28698	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_201	PMC3342123.nxml.gz_140	29198 29202	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_202	PMC3342123.nxml.gz_142	29581 29585	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_203	PMC3342123.nxml.gz_144	29861 29865	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_204	PMC3342123.nxml.gz_144	30060 30064	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
