	ARTICLE	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES
25	PMC4949713	41	['At 18.5â\x80\x89dpc, just prior to birth, the pituitary comprises the posterior lobe (PP), of neural origin, and the anterior pituitary (AP), derived from the anterior and intermediate lobes.']	(6969, 7154)
26	PMC4949713	42	['The pituitary is located between the hypothalamus (Hyp) and the basosphenoid bone (BS).']	(7155, 7242)
27	PMC4949713	43	['(Figure courtesy of Dr C. L.']	(7243, 7271)
28	PMC4949713	44	['Andoniadou.)']	(7272, 7284)
29	PMC4949713	45	['Normal morphogenesis and differentiation of the pituitary gland are regulated by the activity of several transcriptional factors and signalling pathways [29, 30, 31].']	(7287, 7453)
30	PMC4949713	46	['One of these pathways is WNT/Î²â\x80\x90catenin, a major regulator of several cellular processes during organogenesis and adulthood [32, 33].']	(7454, 7589)
31	PMC4949713	47	['The activity of the WNT/Î²â\x80\x90catenin pathway is controlled by the stability of Î²â\x80\x90catenin, a transcriptional activator lacking a DNA binding domain.']	(7590, 7740)
32	PMC4949713	49	['Binding of WNT ligands to their receptors disrupts the destruction complex, preventing the phosphorylation of Î²â\x80\x90catenin and its subsequent ubiquitination and degradation.']	(7946, 8119)
33	PMC4949713	50	['Stabilized Î²â\x80\x90catenin can translocate into the nucleus and interact with DNAâ\x80\x90binding transcription factors of the TCF/LEF family to activate the expression of target genes of the pathway (Figureâ\x80\x893).']	(8120, 8324)
34	PMC4949713	51	['Caption (Fig): FIG 3\n\n\nWNT/Î²â\x80\x90catenin signalling pathway.']	(8326, 8385)
35	PMC4949713	52	['(A) In the absence of WNT ligands, Î²â\x80\x90catenin is trapped in a destruction complex formed by Axin, APC and GSK3Î² and phosphorylated in specific residues encoded by exon 3 of CTNNB1.']	(8386, 8569)
36	PMC4949713	53	['This results in rapid degradation of Î²â\x80\x90catenin and, consequentially, the repression of target genes brought about by the interaction of TCF/LEF1 with coâ\x80\x90repressors [e.g.']	(8570, 8744)
37	PMC4949713	54	['groucho (Gro)/TLE family members].']	(8745, 8779)
38	PMC4949713	55	['(B) Binding of WNT ligands to the Frizzled (FZD) receptors and ist coâ\x80\x90receptors LRP leads to the activation of dishevelled (DVL) and recruitment to the cytoplasmic membrane of both DVL and Axin.']	(8780, 8976)
39	PMC4949713	57	['The stabilisation of Î²â\x80\x90catenin results in increased cytoplasmic protein levels and eventually nuclear translocation, where its interaction with TCF/LEF1 factors mediates the expression of target genes oft he pathway.']	(9112, 9331)
40	PMC4949713	59	['This causes the activation of the WNT/Î²â\x80\x90catenin pathway in a cellâ\x80\x90autonomous manner in the absence of WNT ligands.']	(9562, 9681)
41	PMC4949713	60	['(Figure courtesy of Dr C. L.']	(9682, 9710)
42	PMC4949713	61	['Andoniadou.)']	(9711, 9723)
43	PMC4949713	65	['In addition, somatotroph, lactotroph and thyrotroph differentiation is impaired [21].']	(10359, 10444)
44	PMC4949713	69	['These neoplastic cells do not express markers of proliferation or pituitary hormones and are negative for synaptophysin, a marker of neurons and endocrine cells (Figureâ\x80\x894 and data not shown) [21, 42, 43].']	(11481, 11687)
45	PMC4949713	72	['Critically, human ACPs develop over years, but mouse ACPs develop in a period of weeks.']	(12010, 12097)
46	PMC4949713	74	['Caption (Fig): FIG 4\n\nCluster cells in mouse and human ACP do not express Ki67 or SOX9.']	(12320, 12407)
47	PMC4949713	75	['Double immunofluorescent staining against Î²â\x80\x90catenin (green) and the proliferative marker Ki67 or the transcription factor SOX9 (red).']	(12408, 12544)
48	PMC4949713	76	['Reproduced with permission from PNAS\n(Gastonâ\x80\x90Massuet etâ\x80\x89al., PNAS USA 2011, vol.']	(12545, 12629)
49	PMC4949713	77	['108, number 28, pp 11482â\x80\x9311487).']	(12630, 12664)
50	PMC4949713	94	['These cells can selfâ\x80\x90renew, express markers associated with stemness (e.g.']	(15664, 15740)
51	PMC4949713	97	['Pituitary stem cells express the transcription factors SOX2 and SOX9 and are capable of differentiating into all of the hormoneâ\x80\x90producing cells to contribute to organ homeostasis and regeneration.']	(16057, 16255)
52	PMC4949713	105	['neither endocrine nor neural) tumour cells.']	(17395, 17438)
53	PMC4949713	111	['If normal SOX2+ve cells were transformed into CSCs due to the expression of oncogenic Î²â\x80\x90catenin, the tumour would be expected to contain YFP+ progeny cells.']	(18271, 18430)
54	PMC4949713	115	['Caption (Fig): FIG 5\n\nThe progeny of SOX2+ pituitary stem cells give rise to the cell clusters but are not the cellâ\x80\x90ofâ\x80\x90origin of mouse ACP.']	(19316, 19459)
55	PMC4949713	116	['Double immunofluorescence staining reveals the presence of a Î²â\x80\x90cateninâ\x80\x90accumulating tumour (asterisk) that is YFP\nâ\x88\x92ve.']	(19460, 19585)
56	PMC4949713	117	['Note that YFP\nâ\x88\x92ve tumour is adjacent to YFP\n+ve cell clusters showing nucleoâ\x80\x90cytoplasmic Î²â\x80\x90catenin accumulation (arrowheads).']	(19586, 19718)
57	PMC4949713	118	['Reproduced with permission from Elsevier (Andoniadou etâ\x80\x89al., Cell Stem Cell 2013, vol.']	(19719, 19807)
58	PMC4949713	119	['13, issue 4, pp 433â\x80\x93445).']	(19808, 19835)
59	PMC4949713	122	['Using genetic approaches, the cluster cells have been isolated from the embryonic mouse model and their gene expression profiled in comparison with the nonâ\x80\x90cluster tumour cells to identify dysregulated genes/pathways [42].']	(20169, 20393)
60	PMC4949713	127	['Normal embryogenesis relies heavily on signalling centres.']	(21189, 21247)
61	PMC4949713	128	['Broadly speaking, normal organogenesis including pituitary morphogenesis is brought about by the activities of cells with instructive properties that secrete signals (i.e.']	(21248, 21419)
62	PMC4949713	129	['signalling centres) and those of surrounding cells, which respond to those signals.']	(21420, 21503)
63	PMC4949713	133	['When targeted to express oncogenic Î²â\x80\x90catenin, SOX2+ve cells (green) accumulate nucleoâ\x80\x90cytoplasmic Î²â\x80\x90catenin, proliferate transiently and stop dividing forming clusters.']	(21970, 22146)
64	PMC4949713	134	['Clusters secrete signals to the surrounding cells to induce cell transformation and tumour growth from a cell that is not derived from the targeted SOX2+ve stem cell.']	(22147, 22313)
65	PMC4949713	135	['Reproduced with permission from Elsevier (Andoniadou etâ\x80\x89al., Cell Stem Cell 2013, vol.']	(22314, 22402)
66	PMC4949713	136	['13, issue 4, pp 433â\x80\x93445).']	(22403, 22430)
67	PMC4949713	150	['Instead they induce tumours in a nonâ\x80\x90cell autonomous manner by activating a secretory phenotype with tumourâ\x80\x90inducing potential.']	(25135, 25266)
68	PMC4949713	161	['Conflict of interest\n\nThe author declares no conflict of interest.']	(26718, 26784)
69	PMC7547020	0	['Robust deep learning classification of adamantinomatous craniopharyngioma from limited preoperative radiographic images\n\nAbstract\n\nDeep learning (DL) is a widely applied mathematical modeling technique.']	(0, 202)
70	PMC7547020	9	['Introduction\n\nDeep learning is a subtype of artificial intelligence that constructs generalizable models for data representations via a multilayer abstraction process.']	(1425, 1592)
71	PMC7547020	10	['A common deep learning architecture used for classification of visual information is known as a Convolutional Neural Network (CNN).']	(1593, 1724)
72	PMC7547020	11	['CNNs are constructed using multiple sequential layers containing variants of the multi-layer perceptron.']	(1725, 1829)
73	PMC7547020	13	['CNNs and other variants have had great success in tasks such as image object recognition; speech recognition, translation, and generation; and medical diagnostics, genetics, and drug discovery.']	(1987, 2180)
74	PMC7547020	15	['An example is the ImageNet Large Scale Visual Recognition Challenge (ILVSRC).']	(2308, 2385)
75	PMC7547020	16	['This leading image recognition competition challenges competitors to advance the state of the art in computer-guided object detection and classification.']	(2386, 2539)
76	PMC7547020	19	['Examples include dermatological diseases and diabetic retinopathy.']	(2835, 2901)
77	PMC7547020	24	['This is a machine learning methodology for storing knowledge gained from solving a problem within one domain and applying that knowledge to another domain.']	(3500, 3655)
78	PMC7547020	25	['The success of TL has led to the development of publicly available pre-trained models derived from top ILSVRC solutions.']	(3656, 3776)
79	PMC7547020	26	['By using these pre-trained networks to generate feature embeddings for our dataset of interest, we enable our classifier to have access to the pattern recognition capabilities of these state-of-the-art architectures.']	(3777, 3993)
80	PMC7547020	28	['This process synthetically expands a dataset by applying transformations (i.e.']	(4085, 4163)
81	PMC7547020	29	['crop, rotate, blur, etc.)']	(4164, 4189)
82	PMC7547020	31	['We employed two separate data augmentation approaches.']	(4255, 4309)
83	PMC7547020	32	['The first was a stochastic process that sampled across transformations with probability thresholds.']	(4310, 4409)
84	PMC7547020	33	['The second method, known as TANDA (Transformation Adversarial Networks for Data Augmentation), is a ML-based approach that uses Generative Adversarial Networks (GANs) and Recurrent Neural Network (RNNs) to learn the optimal combination and parameters of the image transformations within a specific dataset.']	(4410, 4716)
85	PMC7547020	35	['An additional challenge in identifying the optimal model is the optimization of CNN hyperparameters.']	(4900, 5000)
86	PMC7547020	38	['This optimization procedure allows the model to optimize more intelligently over the solution space with fewer required iterations.']	(5228, 5359)
87	PMC7547020	41	['This damage results from growth of the tumor in the sellar/suprasellar region of the brain, where it invariably develops.']	(5818, 5939)
88	PMC7547020	54	['In order to facilitate research into this tumor, Advancing Treatment for Pediatric Craniopharyngioma was formed in 2015.']	(7629, 7749)
89	PMC7547020	56	['In addition to the imaging data assembled from these centers, we added data from St. Jude Childrenâ\x80\x99s Research Hospital, thereby assembling a generalizable and representative dataset of both ACP and other sellar/suprasellar entities for model training and evaluation.']	(7914, 8182)
90	PMC7547020	58	['However, given its incidence, ACP lacks the volume of labeled data observed in more common disease contexts.']	(8477, 8585)
91	PMC7547020	61	['Results\n\nBaseline predictive results\n\nCaption (Fig): FIG 1\n\nTransfer learning networks, feature embeddings, and baseline results.']	(8959, 9088)
92	PMC7547020	63	['(B) Example CT and MRI images for both ACP and NOTACP.']	(9192, 9246)
93	PMC7547020	64	['(C) ROC (left) and AUC (right) values for all twelve networks and both imaging modalities (CT top, MRI bottom).']	(9247, 9358)
94	PMC7547020	65	['The diagonal dashed line represents performance of a random guess.']	(9359, 9425)
95	PMC7547020	66	['Using twelve state-of-the-art networks that have publicly available deep learning models from the TensorFlow Hub library trained on the ImageNet ILSVRC dataset (Fig.Â\xa01A), we generated feature embedding vectors to be used in model training (Fig.Â\xa01B).']	(9427, 9678)
96	PMC7547020	67	['Baseline experiments were conducted by training a single fully-connected layer with a softmax activation function and stochastic gradient descent (SGD) optimization algorithm.']	(9679, 9854)
97	PMC7547020	68	['Using whole-batch training, a learning rate of 0.01, and a training duration of 100 epochs, we established baseline results (Fig.Â\xa01C).']	(9855, 9990)
98	PMC7547020	69	['Across all twelve feature embeddings, on average the classifier accurately labelled individual CT scans 62.3% (Top-5 Network Average ; maximum performance ) and MRI scans 45.7% (; ) of the time.']	(9991, 10185)
99	PMC7547020	70	['Model selection and parameter optimization using manual selection\n\nCaption (Fig): FIG 2\n\nGenetic algorithm optimization of model parameters.']	(10187, 10327)
100	PMC7547020	71	['(A) General process schematic for genetic algorithm parameter optimization.']	(10328, 10403)
101	PMC7547020	72	['Moving from left to right, a feature variant is selected for each model feature to create individual networks (Step 1; individuals are highlighted in unique colors).']	(10404, 10569)
102	PMC7547020	73	['Individuals are trained and evaluated to determine fitness and ranked accordingly (Step 2).']	(10570, 10661)
103	PMC7547020	74	['Two networks are chosen from the fittest population and a new network is derived by selecting from feature variants in these two networks, and variants are occasionally mutated (i.e., randomly selected from the population pool; Step 3).']	(10662, 10898)
104	PMC7547020	75	['(B) Model feature and respective feature variants explored in first phase of genetic algorithm optimization.']	(10899, 11007)
105	PMC7547020	76	['Each column represents a model feature to be optimized and each row is a possible feature variant for the GA to select from.']	(11008, 11132)
106	PMC7547020	77	['This table reflects the â\x80\x9cPopulation Poolâ\x80\x9d (A).']	(11133, 11183)
107	PMC7547020	78	['(C) Top-5 performing networks for independent CT and MRI networks after 10 generations of 100 solution populations; ranked according to test accuracy.']	(11184, 11334)
108	PMC7547020	79	['(D) Top-5 performing networks for combined CT-MRI networks after 10 generations of 100 solution populations; ranked according to test accuracy.']	(11335, 11478)
109	PMC7547020	80	['To address the computational and time demands associated with architecture selection and hyperparameter optimization within deep learning models, we employed a parallelized simple genetic algorithm (GA) to more rapidly identify optimal combinations of feature extractors, learning parameters, and hyperparameters for both CT and MRI (see Computational Methods; Fig.Â\xa02A).']	(11480, 11851)
110	PMC7547020	81	['We employed ten different model features to optimize the parameters of the (1) fully connected classifier network; (2) the pre-trained deep CNN to be utilized for feature embeddings; and, (3) the type of training and test datasets (e.g.']	(11853, 12089)
111	PMC7547020	82	['original or synthetically expanded by augmentation; Fig.Â\xa02B).']	(12090, 12152)
112	PMC7547020	83	"['The number of variants for each model feature ranged from three to fifteen, making the total number of possible network combinations 19,051,200 (see ""Methods"" section).']"	(12153, 12321)
113	PMC7547020	84	['The GA allowed for more intelligent exploration of the solution space and reduced the overall computational time required.']	(12322, 12444)
114	PMC7547020	85	['By performing 10 generations of 100 solution populations with a generational retention rate of 40%, a negative rejection probability of 10%, and a mutation frequency of 20%, we explored only  solutions to identify the top 5 performing networks of the final generation (Fig.Â\xa02C).']	(12445, 12724)
115	PMC7547020	92	['Further, the superiority of each respective network is highlighted by their selection within the combined CT-MRI network (; Fig.Â\xa02D).']	(13608, 13742)
116	PMC7547020	93	['Caption (Fig): FIG 3\n\nFurther optimization with GA. (A).']	(13744, 13800)
117	PMC7547020	94	['Model features and variants available for solution search space in second phase of GA optimization.']	(13801, 13900)
118	PMC7547020	95	['Each column represents a model feature to be optimized and each row is a possible feature variant for the GA to select from.']	(13901, 14025)
119	PMC7547020	96	['(B) Top-5 performing networks from CT and MRI trained networks as optimized by the GA for 10 generations of 100 solution populations.']	(14026, 14159)
120	PMC7547020	97	['(C) Top-5 performing networks for combined CT-MRI trained networks as optimized by the GA for 10 generations of 100 solution populations.']	(14160, 14297)
121	PMC7547020	101	['To further improve model generalization, we performed a second iteration of the GA with fewer parameters (Fig.Â\xa03A).']	(14827, 14943)
122	PMC7547020	102	['In this iteration, we allowed the GA to evolve a parameter population with only 144 possible combinations for CT and 1944 possible solutions for MRI.']	(14944, 15093)
123	PMC7547020	103	['After running the GA on the new refined feature lists for 10 generations with 100 solutions per generation, the top accuracy for CT increased by a further 1.54% (T5NAÂ\xa0=Â\xa083.4%; MPÂ\xa0=Â\xa085.3%; Fig.Â\xa03B).']	(15094, 15296)
124	PMC7547020	104	['Similarly, we observed an increase in performance for CT-MRI networks (T5NA = 86.1%; MP = 87.8%; Fig.Â\xa03C).']	(15297, 15404)
125	PMC7547020	107	['Stochastically augmented training data outperforms TANDA augmented training data\n\nCaption (Fig): FIG 4\n\nTest performance of models trained on stochastic image augmentation and GAN-LSTM augmented images.']	(15736, 15938)
126	PMC7547020	108	['(A) Exemplar images of original training CT (top) and MRI (bottom), with randomly augmented variants, and TANDA-augmented variants.']	(15939, 16070)
127	PMC7547020	109	['(B) ROC curves for CT- and MRI-trained networks comparing top results of supervised augmented images and TANDA-generated images.']	(16071, 16199)
128	PMC7547020	110	['Dashed lines represent ROC curve of random chance classification.']	(16200, 16265)
129	PMC7547020	113	['We explored both solutions, using the publicly available python modules Augmentor (stochastic-based) and TANDA (LSTM-GAN-based) to oversample our training data to 1000 images per class (Fig.Â\xa04A).']	(16486, 16682)
130	PMC7547020	124	['(A) Example original and obfuscated images for both data classes and both imaging modalities.']	(18787, 18880)
131	PMC7547020	125	['(B) ROC curves for networks trained on obfuscated and original data; original data was â\x80\x98Augmented ()â\x80\x99 variant.']	(18881, 18995)
132	PMC7547020	126	['(C) Baseline ROC curves for all twelve networks trained on original (left) and obfuscated (right) CT images.']	(18996, 19104)
133	PMC7547020	127	['(D) Baseline ROC curves for all twelve networks trained on original (left) and obfuscated (right) MRI images.']	(19105, 19214)
134	PMC7547020	130	['In this context, the networks failed to accurately distinguish ACP from NOTACP images (Fig.Â\xa05B).']	(19544, 19641)
135	PMC7547020	134	['Benchmarking against human performance and assessment of hold out training/testing approach\n\nCaption (Fig): FIG 6\n\nOptimized network classification performance versus human specialist and 5-fold cross-validation evaluation.']	(20237, 20460)
136	PMC7547020	135	['(A) Radiologist average auROC of 89.4%, 83.3%, and 93.8% for CT, MRI, and CT-MRI, respectively.']	(20461, 20556)
137	PMC7547020	136	['GA-optimzed auROC of 85.3%, 83.3%, and 87.8% for CT, MRI, and CT-MRI, respectively.']	(20557, 20640)
138	PMC7547020	137	['(B) Schematics of 5-fold cross-validation (5F-CV) approaches used to verify the perceived improvement yielded by augmented training data (scenario 3 vs. scenarios 1 and 2).']	(20641, 20813)
139	PMC7547020	139	['(C) Performance metrics (AUC: area under the ROC curve; Accuracy: standard accuracy metric) for 5F-CV across all three scenarios.']	(20958, 21087)
140	PMC7547020	140	['Peak performance was achieved via scenario 2 in CT (AUCÂ\xa0=Â\xa088.0%, AccuracyÂ\xa0=Â\xa089.0%) and MRI (AUCÂ\xa0=Â\xa097.5%, AccuracyÂ\xa0=Â\xa097.4%).']	(21088, 21219)
141	PMC7547020	141	['In the context of CT-MRI, peak performance was attained in scenario 3 (AUCÂ\xa0=Â\xa097.8%, AccuracyÂ\xa0=Â\xa097.9%).']	(21220, 21326)
142	PMC7547020	143	['Using the same test dataset (1 JPEG image per modality per unique patient) used to determine â\x80\x98fitnessâ\x80\x99 within the GA, two specialists were asked to classify diagnosis of ACP/NOTACP in a binary context (Fig.Â\xa06).']	(21482, 21697)
143	PMC7547020	148	['To address this, we additionally evaluated our classifier using five-fold cross-validation (5F-CV).']	(22315, 22414)
144	PMC7547020	150	['To further verify the power of our classifier, we chose two separate approaches as to when data is augmented.']	(22657, 22766)
145	PMC7547020	152	['We see that for CT and MRI contexts, augmenting only training data yields the highest results (88.9% and 97.3%, respectively; Fig.Â\xa06B.']	(22890, 23025)
146	PMC7547020	153	['Scenario 2) and classifiers trained on original data perform worse, as expected.']	(23026, 23106)
147	PMC7547020	171	['Additionally, the asynchronous parallelization of our optimization algorithm increased efficiency both in terms of the number of solutions to consider as well as the computational time and resources required to complete calculations.']	(25717, 25950)
148	PMC7547020	178	['Methods\n\nImage acquisition\n\nDeidentified preoperative DICOM image sets for 39 unique patients with histologically confirmed ACP were obtained through the Advancing Treatment for Pediatric Craniopharyngioma consortium () and the St. Jude Childrenâ\x80\x99s Research Hospital ().']	(26817, 27088)
149	PMC7547020	179	['Per the Colorado Multiple Institutional Review Board and United States Health and Human Services Regulation 45 CFR 46, this study was exempt from requiring Institutional Review Board approval.']	(27089, 27281)
150	PMC7547020	180	['Where otherwise concerned, appropriate informed consent was obtained in accordance with the Declaration of Helsinki (v. 2013).']	(27282, 27408)
151	PMC7547020	181	['Sagittal T1-weighted MRI and axial non-contrast CT image series were selected, based on the fact that the 2 modalities are used in a complementary manner in the clinical setting.']	(27409, 27587)
152	PMC7547020	182	['A board-certified pediatric neurosurgeon selected individual images from each series, based on their demonstration of the disease process.']	(27588, 27726)
153	PMC7547020	183	['These were exported as  pixel JPEG images.']	(27727, 27769)
154	PMC7547020	184	['This procedure was also performed on analogous imaging studies from 47 unique patients with histologically confirmed non-ACP sellar/suprasellar lesions (NOTACP), which were in the radiological differential diagnosis of ACP.']	(27770, 27993)
155	PMC7547020	185	['These included pilocytic astrocytoma (), germinoma (), pilomixoid astrocytoma (), optic glioma (), pituitary adenoma (), arachnoid cyst (), prolactinoma (), mature teratoma (), low grade glioma (), renal cell carcinoma (), Rathkeâ\x80\x99s cyst (), lipoma (), and Langerhans cell histiocytosis ().']	(27994, 28285)
156	PMC7547020	186	['NOTACP image datasets were obtained from the radiology department at Childrenâ\x80\x99s Hospital Colorado () and St. Jude Childrenâ\x80\x99s Research Hospital ().']	(28286, 28436)
157	PMC7547020	187	['For training, we utilized 23 ACP and 30 NOTACP patient datasets.']	(28437, 28501)
158	PMC7547020	188	['We extracted three representative images per patient and imaging modality (6 images per patient, 318 images total).']	(28502, 28617)
159	PMC7547020	189	['The test dataset was comprised of 16 ACP and 17 NOTACP patients, with one representative image selected per patient and imaging modality (66 images total; 33 MRI and 33 CT).']	(28618, 28791)
160	PMC7547020	190	['Transfer learning and model architecture\n\nCaption (TABLE-WRAP): TABLE 1\n\nPre-trained networks utilized.']	(28793, 28896)
161	PMC7547020	191	['Network\tSource\tFeature vector size\t \tInception V1\thttps://tfhub.dev/google/imagenet/inception_v1/feature_vector/1\t1024\t \tInception V2\thttps://tfhub.dev/google/imagenet/inception_v2/feature_vector/1\t1024\t \tInception V3\thttps://tfhub.dev/google/imagenet/inception_v3/feature_vector/1\t2048\t \tInception ResNet V2\thttps://tfhub.dev/google/imagenet/inception_resnet_v2/classification/1\t1536\t \tResNet V1 50\thttps://tfhub.dev/google/imagenet/resnet_v1_50/feature_vector/1\t2048\t \tResNet V1 101\thttps://tfhub.dev/google/imagenet/resnet_v1_101/feature_vector/1\t2048\t \tResNet V1 152\thttps://tfhub.dev/google/imagenet/resnet_v1_152/feature_vector/1\t2048\t \tResNet V2 50\thttps://tfhub.dev/google/imagenet/resnet_v2_50/feature_vector/1\t2048\t \tResNet V2 101\thttps://tfhub.dev/google/imagenet/resnet_v2_101/feature_vector/1\t2048\t \tResNet V2 152\thttps://tfhub.dev/google/imagenet/resnet_v2_152/feature_vector/1\t2048\t \tNASNet-A Large\thttps://tfhub.dev/google/imagenet/nasnet_large/feature_vector/1\t4032\t \tPNASNet-5 Large\thttps://tfhub.dev/google/imagenet/pnasnet_large/feature_vector/2\t4320\t \t\n\nModules were accessed using the respective URL and standard TensorFlow Hub methods.']	(28898, 30056)
162	PMC7547020	192	['Transfer learning was completed by extracting dense one-dimensional feature vectors (image signatures) using models fully trained on the ILSVRC-2012-CLS dataset.']	(30058, 30219)
163	PMC7547020	193	['These models are publicly available on TensorFlow Hub (TableÂ\xa01).']	(30220, 30285)
164	PMC7547020	194	['Resultant image signatures were given as inputs to a single fully-connected layer of the standard formwhere  is the activation function.']	(30287, 30423)
165	PMC7547020	195	['Prior to activation, input image signatures were transformed via a dropout layer with feature keep probabilities being one of 25%, 50%, 75%, or 100% (i.e.']	(30424, 30578)
166	PMC7547020	196	['no dropout).']	(30579, 30591)
167	PMC7547020	197	['We explored the application of several activation functions (softmax, softplus, softsign, ReLU, leaky ReLU, and log softmax) readily available within the TensorFlow library.']	(30592, 30765)
168	PMC7547020	199	['Each model architecture was then exposed to one of the following optimizers: Gradient Descent, Adam, Adagrad, Adadelta, RMSProp, Momentum, FTRL, Proximal Adagrad, and Proximal Adadelta.']	(31017, 31202)
169	PMC7547020	200	['Training batch sizes were one of 2, 5, 10, 20, or 120 images.']	(31203, 31264)
170	PMC7547020	201	['Training duration ranged from 10 to 125 epochs.']	(31265, 31312)
171	PMC7547020	202	['Lastly, the learning rate utilized for training was one of 0.00001, 0.0001, 0.001, 0.005, 0.01, 0.05, and 0.1.']	(31313, 31423)
172	PMC7547020	205	['In addition, our augmented training datasets are numerically balanced.']	(31727, 31797)
173	PMC7547020	208	['Briefly, we randomly select one model feature (e.g., loss function, learning rate, batch size, etc.)']	(32225, 32325)
174	PMC7547020	209	['for each of the features listed in Fig.Â\xa02b, this set of features comprises a singular â\x80\x9cindividualâ\x80\x9d.']	(32326, 32430)
175	PMC7547020	210	['For a given generation, we generated 100 of these â\x80\x9cindividualsâ\x80\x9d.']	(32431, 32499)
176	PMC7547020	211	['Each individual is asynchronously processed and the â\x80\x9cfitnessâ\x80\x9d of an individual is the AUC value described above.']	(32500, 32616)
